id,question1,question2,is_duplicate,CosineSimilarity,JaccardSimilarity,Levenshtein,DiceSimilarity
110015,"meet someone first time could feel mutual attraction first sight also first conversation , reliable attraction ( i.e . last decrease easily ) ?",ever felt insanely strong attraction someone first sight ? ?,0,0.07535334341129533,0.0,103,0.8372093023255814
110016,flitto app make money ?,grocery apps make money ?,0,0.0,0.0,8,0.7142857142857143
110017,ios developer facebook ?,ios apps much cached data ?,0,0.0,0.0,17,0.6666666666666666
110018,fossils pokemon firered ?,get dome fossil helix fossil pokemon firered ?,0,0.0,0.0,21,0.875
110019,technology stack ?,thereforeindia technology stack ?,0,0.0,0.0,15,0.875
110020,"object traveling speeds c , would time distance measure negative outside observer ?","since speed equal distance divided time , speed light constant time ?",0,0.0,0.0,62,0.8571428571428571
110021,bullet kill ?,bullet kill person ?,1,0.0,0.0,7,0.782608695652174
110022,direct download site yify uploads ?,alternatives torrent ?,0,0.0,0.0,27,0.7333333333333333
110023,get rid acne scars face ?,get rid acne scars face ?,0,0.0,0.0,0,1.0
110024,trust universe ?,trust work ?,0,0.0,0.0,7,0.631578947368421
110025,make brownies ?,best way make brownie ?,1,0.0,0.0,10,0.9285714285714286
110026,spam someone 's phone ?,easiest way email bomb someone ?,0,0.0,0.0,22,0.64
110027,best places visit nepal ?,best place travel nepal ?,1,0.0,0.0,7,0.9230769230769231
110028,willing make friends foreign student poor english ? important thing make friends /him ?,willing make friends foreign student poor english ? important thing make friends her/him ?,1,0.0,0.05882352941176472,3,1.0
110029,buy amazon prime uk gift card ?,connection fear acohol/drug addiction ?,0,0.0,0.0,31,0.7567567567567568
110030,narendra modi really overhyped ? ?,modi overhyped ?,1,0.0,0.0,18,0.8888888888888888
110031,file income tax return india ?,file income tax return ?,0,0.036386854086505126,0.0,6,0.967741935483871
110032,salt water taffy candy imported france ?,saltwater taffy candy imported jamaica ?,1,0.0,0.0,6,0.972972972972973
110033,happens syria ?,'s deal syria ?,1,0.0,0.0,6,0.7272727272727273
110034,long unused programming skills relevant resume ?,long programming languages relevant resume ?,1,0.0,0.0,15,0.9411764705882353
110035,books read improve general knowledge ?,book read gain general knowledge ?,1,0.0,0.0,8,0.875
110036,"good , slow , beautiful english songs ?",good songs play annual function school ? english hindi songs welcome .,0,0.0,0.0,42,0.8205128205128205
110037,cultural values japan ?,cultural value ?,0,0.0,0.0,7,0.8333333333333334
110038,improve writing ? started writing articles want write authenticity . ?,improve writing skills write advanced composition ?,1,0.0,0.0,39,0.8780487804878049
110039,good chants use student section sports game ?,makes game sport ?,0,0.0,0.0,33,0.7586206896551724
110040,iot projects ?,possible contact dead ?,0,0.0,0.0,17,0.72
110041,feel like atheist ?,feel like atheist ?,1,0.0,0.0,0,1.0
110042,greatest saint poets india ?,names ww1 poets ? contribution history ?,0,0.03974108245195155,0.0,29,0.6875
110043,important decision made life ?,best entrepreneurial decision ( ) made life ? difference make ?,1,0.0,0.0,40,0.8648648648648649
110044,best movie bollywood 2016 ?,best bollywood flim year 2016 ?,1,0.0,0.09999999999999998,16,0.8947368421052632
110045,long take armour hire interns ?,many days take hire intern advertising interview ?,0,0.055829269019005784,0.0,31,0.7878787878787878
110046,research studies correlating mbti brain science ?,studies research correlation intelligence/intellect liberal beliefs ?,0,0.0,0.08333333333333337,48,0.918918918918919
110047,improve pronunciation english ?,continue improve english ?,1,0.0,0.0,17,0.9714285714285714
110048,difference dominant recessive alleles ?,difference recessive trait dominant trait ?,1,0.0,0.0,27,0.967741935483871
110049,get medical seat ( govt/pvt ) score neet2 2016 486 belong jharkhand state general category ?,white people wavy hair african ancestors ?,0,0.0,0.0,72,0.6530612244897959
110050,root android mobile ?,'s time ?,0,0.0,0.0,15,0.5714285714285714
110051,supreme court india interfere banned 500 1000 notes government ?,supreme court power revoke government india ’ ( narendra modi ’ ) decision ban 500 1000 denomination bank notes ?,1,0.027907894241240096,0.0,70,0.875
110052,", according , best disney film ?",best disney movies ( preferably animated ) ?,1,0.0,0.0,33,0.8205128205128205
110053,traffic laws samoa particularly hard foreign drivers get used ?,traffic laws china particularly hard foreign drivers get used ?,0,0.0,0.0,4,0.9767441860465116
110054,colors go well navy blue ?,colors mix make navy blue ?,0,0.0,0.0,7,0.8235294117647058
110055,feel tired eat ?,get tired eating ?,1,0.0,0.0,6,0.8
110056,inexpensive hotel new york city ?,best hotel new york city ?,0,0.0,0.0,9,0.8823529411764706
110057,cost living per month single student madrid ? ( including food accommodation ),cost living per month single student dubai ? ( including food accommodation ),0,0.0,0.0625,5,0.9777777777777777
110058,girl going college boy asked name . girl said : `` 20 years 6 months '' . could girl 's name ?,"man 53 socks drawer . 21 identical blue , 15 identical black 17 identical red . light went complete darkness . many socks must take 100 % certain pair black socks ?",0,0.031379380046983374,0.0,123,0.7931034482758621
110059,common diseases caused viruses ?,common diseases caused bacteria ?,0,0.0,0.0,8,0.896551724137931
110060,peer-to-peer insurance ?,insurance peer peer services ?,0,0.0,0.0,18,0.8461538461538461
110061,trump wins elections ?,"americans , trump wins ?",1,0.0,0.0,18,0.8666666666666667
110062,safely lose weight dramatically ?,rapidly someone safely lose weight ?,0,0.0,0.0,27,0.918918918918919
110063,steve jobs fired apple ?,steve jobs ever fired apple ?,0,0.0,0.0,5,1.0
110064,"cheated , cheat ?",cheated cheat ?,0,0.0,0.0,2,0.9411764705882353
110065,"good shirt colours ( lack better term ) brown guys asian decent , notably sri lankan indian ?",men wear women ’ shoes ?,0,0.0,0.0,80,0.6111111111111112
110066,best way publish story ?,publish story anonymously ?,0,0.0,0.0,20,0.875
110067,good mystery anime watch ?,good mystery/horror anime watch ?,1,0.0,0.0,7,0.9714285714285714
110068,wrong date 25 years old guy 'm 21 ?,wrong 16 year old girl date 20 year old guy ?,0,0.0,0.0714285714285714,25,0.8205128205128205
110069,get funding startups ?,get funds startup ?,1,0.0,0.0,4,0.9629629629629629
110070,"stop gaming get better grades , yes ?",stop gaming get better grades ? balance gaming studying ?,1,0.0,0.0,22,0.8888888888888888
110071,best institution ias hyderabad ?,best ias coaching centres hyderabad ?,1,0.0,0.0,15,0.9032258064516129
110072,learn first break-up first love ? still miss him/her ?,still love first love ?,0,0.0,0.0,39,0.6875
110073,change ages 18 25 ?,must read books age 18 ?,0,0.0,0.0,17,0.5517241379310345
110074,best course digital marketing ?,best free digital marketing course ?,1,0.0,0.0,11,0.972972972972973
110075,musical theories know order compose music ?,subjects know musical theory composing improvising ?,0,0.0,0.0,34,0.8571428571428571
110076,law demand ? explained ?,define law demand ?,1,0.0,0.0,16,0.8695652173913043
110077,best franchise invest ?,'s best franchise invest ?,1,0.0,0.0,3,0.9655172413793104
110078,things could 'm bored want relax ?,interesting things bored home alone ?,1,0.06164122239214029,0.0,25,0.8648648648648649
110079,anyone using prepsmarter ca-cpt preparation ?,prepare ca cpt ?,0,0.0,0.0,30,0.64
110080,stop letting parents control influence life adult ?,parents think make life game control ?,0,0.0,0.0,36,0.8571428571428571
110081,late start computer science degree 20 n't know programming languages ?,n't know program start computer science college degree . doomed ?,0,0.0,0.0,48,0.9302325581395349
110082,mirage ? happen ?,mirage ? occur ?,1,0.0,0.0,6,0.7272727272727273
110083,monolid eyes ?,hooded monolid ?,0,0.0,0.0,11,0.8571428571428571
110084,bad credit get payday loan ?,merit required gulf students coep ?,0,0.0,0.0,24,0.7647058823529411
110085,one pursue romantic relationship man godly way ?,"know sexual orientation ? 'm male , romantically attracted women , ever since `` alive '' , 've wanted female .",0,0.0,0.0,84,0.7555555555555555
110086,bypass advanced protection applock android ?,applocks android work ?,0,0.0,0.0,32,0.8125
110087,anyone hack phone he/she knows imei number ?,check phone 's warranty imei number ?,0,0.0,0.0,19,0.9230769230769231
110088,boyfriend say email call n't ?,boyfriend mean says n't want kids ?,0,0.0,0.0,18,0.8888888888888888
110089,carcinogen ?,benzene carcinogen ?,0,0.0,0.0,8,0.9090909090909091
110090,best real life examples instant karma ?,real life karma police ?,1,0.0,0.0,25,0.7586206896551724
110091,get cracked version labview 2015 ?,version model linux get ?,0,0.0,0.0,26,0.6842105263157895
110092,makes good dj ?,makes great dj ?,1,0.0,0.0,4,0.8695652173913043
110093,get regular customer stop starting conversations patrons n't interested say ?,girl facebook n't met yet . would weird say started get feelings without met yet ?,0,0.0,0.0,63,0.8181818181818182
110094,alia bhatt real life ?,like meet alia bhatt person ?,0,0.0,0.0,18,0.7407407407407407
110095,get boy stop following ?,get boy stop following ?,1,0.0,0.0,0,1.0
110096,distinguish technology students students world ?,distinguish technology student students world ?,1,0.0,0.09090909090909094,1,1.0
110097,database used quora ?,database used quora ?,1,0.0,0.0,0,1.0
110098,worst actor/actress bollywood according ?,worst bollywood actors actresses ?,1,0.0,0.0,26,0.875
110099,get cheap accommodation goa ?,cheap good hotel stay goa ? like oyo rooms ?,1,0.0,0.0,33,0.8125
110100,long distance relationships maintained ?,best ways keep long distance love relationship happy ?,1,0.0,0.0,30,0.8421052631578947
110101,mean someone says `` leaking like sieve '' ?,mean `` race bait '' ?,0,0.0,0.0,28,0.6206896551724138
110102,masturbate 2–3 times feel orgasm . wrong ?,masturbate 3 times feel orgasm sometimes 2 times wrong went doctor believe ?,1,0.0,0.0,39,0.8837209302325582
110103,best rapper world time ?,greatest rapper time ?,1,0.0,0.0,11,0.7692307692307693
110104,quora moderation consist ?,boys wore spectacles watching porn videos ?,0,0.0,0.0,30,0.6857142857142857
110105,procedural programming language ?,procedural programming paradigms ?,1,0.0,0.0,7,0.967741935483871
110106,technology stack used flipkart ?,technology stack fitmob use ?,0,0.0,0.0,13,0.8717948717948718
110107,foods commonly eaten france ?,common foods eaten country ?,0,0.0,0.0,17,0.9333333333333333
110108,develop e-commerce website ?,create e-commerce website ?,1,0.0,0.0,6,0.8387096774193549
110109,long distance relationship work ?,long distance relationship really work ?,1,0.0,0.0,7,0.972972972972973
110110,pm modi gone mad ?,getting 90 percentile fiitjee aits guarantee admission iit ?,0,0.0,0.0,49,0.6875
110111,"america take osama bin laden 's remains , family suppose bury like everyone us ?",political/legal/ethical reasons us won't/ca n't hunt individual terrorist leaders like osama bin laden ?,0,0.06837485337163536,0.0,76,0.851063829787234
110112,"would woman date man married , also girlfriend ?",liquid nitrogen made ice cream latest gimmick sell expensive ice cream ?,0,0.09142389512985408,0.0,52,0.7692307692307693
110113,kind app recover apple id ?,recover icloud password ?,0,0.0,0.0,21,0.8275862068965517
110114,"hillary clinton wins , would nominate barack obama scotus ? would even interested supreme court justice ?","hillary clinton wins presidency , think nominate barack obama supreme court ?",1,0.0,0.0,55,0.9565217391304348
110115,"'m desperate need money , get stock trading fast ?",frequently trade stocks using robinhood app ?,0,0.0,0.0,38,0.8095238095238095
110116,"blogging platform use , ?",blogging platform use ?,1,0.0,0.0,2,0.9714285714285714
110117,trump win election ?,donald trump win 2016 american election ?,1,0.0,0.0,21,0.8235294117647058
110118,really want become pilot . 15 years old want know steps becoming commercial pilot ?,one become commercial pilot ?,1,0.0,0.0,55,0.7567567567567568
110119,living relatives cleopatra ?,'s special cleopatra ?,0,0.0,0.0,14,0.8571428571428571
110120,plane land another plane ?,"honesty , girl attractive/sexy big wide nose ?",0,0.0,0.0,35,0.6470588235294118
110121,"sahara , average temperatures compare ones great basin desert ?","sahara , average temperatures compare ones syrian desert ?",1,0.0,0.0,9,0.95
110122,anyone updated reviewed modern theory content feyman lectures caltech website ? every word/axiom still valid ?,big bang really best theory ? matter originating singularity sounds much religious scientific !,0,0.0,0.0,82,0.8444444444444444
110123,minimum height ideal guy ?,important height guy girl ?,0,0.0,0.0,16,0.8666666666666667
110124,issuing new 2000 rs notes help curb black money corruption ?,rs.2000 currency notes reduce black money market corruption ?,1,0.0,0.0,31,0.8888888888888888
110125,good gyarados moveset pokemon sun / moon ?,"chose pokémon sun moon , ?",0,0.0,0.0,23,0.625
110126,make money make money ?,easiest way make money ?,1,0.0,0.0,8,0.8181818181818182
110127,americans hate muslims ?,like muslims hate ?,0,0.0,0.0,17,0.8461538461538461
110128,much quote verbatim transcription 2 hour interview ?,basic things sholud know going banking coaching ?,0,0.0,0.0,45,0.7027027027027027
110129,learn technical analysis stocks financial markets ?,learn technical analysis ?,0,0.0,0.0,25,0.8666666666666667
110130,people vomit lifting heavy weights ?,"heavy weight lifting workout , n't eat proteins , body use fats recover muscles make lean ?",0,0.0,0.0,71,0.8181818181818182
110131,quit asking bad questions start asking great questions ?,ask great quality questions ?,1,0.08207056089301358,0.0,34,0.875
110132,guys think skinny girls attractive ?,guys prefer skinny girls ?,1,0.0,0.0,17,0.7741935483870968
110133,would friends ’ give back borrowed ?,friends wo n't pay back money loaned ?,0,0.0,0.0,23,0.7804878048780488
110134,much matlab license cost ?,much cost apply license ofca ?,0,0.0,0.09999999999999998,12,0.875
110135,happens get boyfriend ?,happen wo n't ever learn get job love ?,0,0.0,0.0,26,0.7058823529411765
110136,many marks required obc candidate get ims-bhu neet ?,'s minimum marks required get admission ims bhu obc category 85 % quota ?,0,0.0,0.0,44,0.8888888888888888
110137,"gandalf grey became gandalf white , radagast brown become radagast grey ?","time return king , could gandalf white taken sauron sans ring power ?",0,0.0,0.0,48,0.8837209302325582
110138,"u.s. use private arbitration sabotage unclos , true son bitch called philippine president ?",role u.s. president necessary ?,0,0.0,0.0,73,0.8421052631578947
110139,best movies ever ?,best movies world ?,1,0.0,0.0,5,0.88
110140,best job market ?,best job ?,1,0.0,0.0,7,0.8
110141,hot sauce make nose run ?,spicy food make nose run ?,1,0.0,0.0,10,0.7741935483870968
110142,ever care people think ?,learn care people think ?,1,0.0,0.0,4,0.9655172413793104
110143,15 facts teenage girls ?,americans feel fact one million teenagers currently medication treating depression ?,0,0.0,0.0,65,0.7647058823529411
110144,recover facebook password 'm receiving recovery email ?,recover facebook password email ?,1,0.0,0.0,22,0.9
110145,'s another word `` effectiveness '' ?,another word ?,0,0.0,0.0,23,0.7586206896551724
110146,richest person nagpur ?,richest dead person ?,0,0.0,0.0,11,0.896551724137931
110147,passengers ( 2016 movie ) get greenlit ? 's backstory movie got made ?,n't breathe ( 2016 movie ) get greenlit ? 's backstory movie got made ?,0,0.0,0.0,11,0.9629629629629629
110148,white men prefer tan asian women ?,n't caucasian men prefer asian men ?,0,0.0,0.0,18,0.8
110149,"epic , funniest farewell emails ever sent coworkers leaving company ?",make farewell speech personal emotional ?,0,0.0,0.0,47,0.85
110150,world war 2 ?,world war ii : country world war ii ? country benefited war ?,0,0.0,0.0,49,0.5925925925925926
110151,old real forrest bondurant died ? caused death ?,person die instantly shot ?,0,0.0,0.0,34,0.8125
110152,suitable inpatient drug alcohol rehab center near wilkinson county ga ?,suitable inpatient drug alcohol rehab center near banks county ga ?,0,0.0,0.0,7,0.975609756097561
110153,"robert frost right ? `` take road less traveled , worth ” ?",robert frost : time travel ever become reality ?,0,0.042675842919755916,0.0,35,0.6842105263157895
110154,ashram stay nepal without fee ?,pay gre fees using city union bank visa debit card written 's valid payment foreign exchange nepal bhutan ?,0,0.0,0.04761904761904767,87,0.8181818181818182
110155,saltwater taffy candy imported jamaica ?,saltwater taffy candy imported czech republic ?,1,0.0,0.0,13,0.8780487804878049
110156,best recipe ?,best recipe world ?,0,0.0,0.0,6,0.8333333333333334
110157,prisma app work ?,prisma filters work ?,0,0.0,0.0,7,0.8461538461538461
110158,one prepare cat 2016 ?,prepare cat ?,1,0.0,0.0,9,0.7272727272727273
110159,overpotential electrochemistry ?,hydrogen liberated anode cathode ?,0,0.0,0.0,25,0.7878787878787878
110160,carbon monoxide dangerous ?,carbon monoxide poisoning dangerous ?,1,0.0,0.0,10,0.9696969696969697
110161,topics important placement computer science engineering branch ?,topics learn helpful joining computer science engineering ece branch ?,0,0.0,0.0,22,0.9473684210526315
110162,"fresher , include academic project details resume ?","make resume get shortlisted , even fresher done academic projects ?",0,0.0,0.0,50,0.9302325581395349
110163,use admob within revive adserver ?,use admob 's ad service adult app ?,0,0.0,0.0,16,0.8
110164,best harmless pranks play prank war ?,best prank play elder sister ?,0,0.0,0.0,20,0.8387096774193549
110165,daniel ek : expect spotify india ?,spotify launch india ?,1,0.03447148686947794,0.0,24,0.8235294117647058
110166,become race car f1 driver ?,want race car driver grow . make become reality ?,1,0.0,0.0,35,0.7058823529411765
110167,"one shows cinema screening , cinema still play movie ?",big movie screens cinema ?,0,0.0,0.0,34,0.7647058823529411
110168,best company buy external hard disk 1tb ?,best 1tb external hard disk buy ?,1,0.0,0.0,13,0.9
110169,konark temple made rock ?,bank issues kohl 's credit card ? benefits kohl 's credit cards ?,0,0.0,0.0,52,0.7272727272727273
110170,remove calpol stains fabric ?,remove tea stain vest ?,0,0.0,0.0,13,0.8275862068965517
110171,muslims believes okay beat wife ?,muslims believes okay beat wife ?,1,0.0,0.0,0,1.0
110172,girl join kpop boy band ? ever done ?,kpop ruined life ?,0,0.0,0.0,26,0.7333333333333333
110173,mark zuckerberg take adderall ?,take adderall study ?,0,0.059179624958761085,0.0,22,0.7407407407407407
110174,solutions augustus provide problems plagued roman republic ?,many people blame president obama problems plague us ? would done differently last seven years potus ?,0,0.0,0.0,72,0.9
110175,difference liking vs loving someone ?,difference `` love '' `` like '' ?,1,0.0,0.0,20,0.8387096774193549
110176,learn programming zero ability become efficient programmer ?,learn programming zero level ?,1,0.0,0.0,32,0.8125
110177,algorithm behind app like summly ?,app learn algorithms ?,0,0.0,0.0,24,0.8571428571428571
110178,features quora ?,features would make quora better ?,0,0.0,0.0,18,0.7857142857142857
110179,write poem intellect ?,write poem passion ?,0,0.0,0.0,9,0.8461538461538461
110180,'s good music listen school ?,'s good music listen 2016 ?,0,0.0,0.0,6,0.8571428571428571
110181,want limit others home using wifi 10pm keeping running . ?,use ola/uber without mobile data - say order home wifi internet travelling ?,0,0.0,0.0,57,0.7555555555555555
110182,escape 'who viewed profile - whatsapp ' ?,know someone viewed profile whatsapp ?,0,0.0,0.0,16,0.8421052631578947
110183,tech companies provide free food employees ?,employer provides free food ? perks provide ?,0,0.0,0.0,23,0.8235294117647058
110184,send troops middle east ?,"could anyone suggest naming new software company 1 building , 7 floors , 7 meeting rooms . related indian tradition tech ?",0,0.0,0.0,103,0.7
110185,two food items thought would taste disgusting together turned delicious ?,rice taste delicious ?,0,0.0,0.0,53,0.8125
110186,warrents indiana johnson county ?,would best windows alternative linux 's bash ? preferably one uses commands syntax,0,0.0,0.0,64,0.7804878048780488
110187,time travel possible ?,time travel ever become possable ?,1,0.0,0.0,13,0.9655172413793104
110188,travelling chicago airport late december early january important trips . face risk flight delay/cancellation ?,potential temperature conservative ?,0,0.0,0.0,86,0.7619047619047619
110189,lesser known facts ?,lesser known facts castro ?,0,0.0,0.0,7,1.0
110190,colors associated halloween ?,color orange become associated halloween ?,0,0.0,0.0,14,0.9090909090909091
110191,health effects lack sleep ?,health effects extended sleep deprivation ?,1,0.0,0.0,20,0.7333333333333333
110192,boys think girl flirt ?,girls flirt ?,0,0.0,0.0,12,0.75
110193,one understand economics whole ?,say beauty meant last intellectual creative way ?,0,0.0,0.0,37,0.8235294117647058
110194,vu hd ready 32 inch tv ? anyone bought ? please help buy .,listen wirelessly headphone newly purchased vu 40 inch basic hd led tv ( smart ) ?,0,0.0,0.0,64,0.7916666666666666
110195,low power temperature sensors spawning slew new applications ?,"college open wifi connects laptops , connected asks particular student id password provided college , bypass ?",0,0.0,0.05555555555555558,84,0.8
110196,life like 2100 ?,united states like 2100 ?,1,0.0,0.0,11,0.72
110197,pass cisco 70-697 exam ? 70-697 exam dumps pdf vce ?,pass microsoft 70-697 exam ? 70-697 exam dumps pdf vce ?,0,0.0,0.0,7,0.9523809523809523
110198,check whatsapp messages online ?,check whatsapp conversations online ?,0,0.0,0.0,9,0.8823529411764706
110199,put moodboards professional portfolio ?,prove prove zero value ?,0,0.0,0.0,28,0.6428571428571429
110200,job private equity like ?,'s like work private equity ?,0,0.0,0.0,16,0.8571428571428571
110201,find cheap removalists melbourne ?,kind sports like try ?,0,0.0,0.0,22,0.7058823529411765
110202,become lawyer bollywood ?,become lawyer ?,0,0.0,0.0,10,0.96
110203,"opinion , first trump–clinton u.s. presidential debate ?",think first presidential debate hillary clinton donald trump ?,1,0.0,0.0,46,0.8571428571428571
110204,4 influential philosophers whose ideas influenced founding fathers setting structure american government ? constitution modern american system see ideas applied ?,socrates hoax ? ?,0,0.0,0.0,149,0.5882352941176471
110205,ahmedabad surat n't ?,surat ahmedabad n't ?,0,0.0,0.0,12,1.0
110206,karma best examples relationship ?,invest 1 year get top tier university us ms automobile engieering ?,0,0.0,0.06666666666666665,51,0.7777777777777778
110207,okay dye hair twice day ?,dye hair twice day ?,1,0.0,0.0,5,0.9230769230769231
110208,peace world ?,peace world ?,0,0.0,0.0,0,1.0
110209,ill effects porn ?,ill-effects carbonated drinks ?,0,0.0,0.0,15,0.8
110210,feel tired get active night ?,feel tired running sun night ?,0,0.0,0.0,11,0.8275862068965517
110211,dragon ball anime ?,girlfriend birthday monday . plan make best birthday life ?,0,0.0,0.0,46,0.7647058823529411
110212,best jobs civil engineer get india ?,best job civil engineer india ?,1,0.04097449366591795,0.0,5,1.0
110213,mortal instruments ( book series ) : jace clary get married ?,mortal instruments ( book series ) : ship name mark blackthorn kieran ?,0,0.0,0.0,24,0.8636363636363636
110214,improve blood circulation mind ?,improve blood circulation hair ?,0,0.0,0.0,4,0.9714285714285714
110215,"earning 2.4 lac per month , save 1.5- 1.6 lac per month . invest money get better return . interested start business money , good businesses start ?",start earning 1 lac rupees per month . investment need made help earn money day 1 ?,0,0.0,0.0,96,0.8627450980392157
110216,careers get mba management information system ?,dual-degree mba masters management information systems . diversify career ?,0,0.0,0.0,37,0.8421052631578947
110217,likeable ?,likeable ?,1,0.0,0.0,0,1.0
110218,one learn recall without forgetting ?,learn something new prevent forgetting ?,1,0.0,0.0,21,0.8235294117647058
110219,conditions may real gas exhibit ideal behavior ?,condition real gases follow ideal gas equation ?,1,0.0,0.0,22,0.7368421052631579
110220,"steel company crm product good , sap c4c sfdc ?",good product companies sap abap/sap hcm jobs ?,0,0.0,0.0,36,0.75
110221,advantages media ?,advantages media ?,1,0.0,0.0,0,1.0
110222,cant get credit card credit ?,fastest way get credit card ?,0,0.0,0.0,16,0.8
110223,"hypothetical scenarios : could professional fighter survive encounter fully grown healthy gorilla determined kill , without feigning death ?","hypothetical scenarios : whole world decided put sanctions completely isolate usa , would usa able survive ? , long ?",0,0.030934355275150077,0.0,90,0.9387755102040817
110224,minimum requirements enter mit ?,join mit ?,1,0.0,0.0,24,0.631578947368421
110225,people afraid dying ? pain change ?,n't people afraid dying ?,0,0.0,0.0,18,0.875
110226,chance getting college 28000 rank ?,srm rank 28000. chances getting college ?,0,0.0,0.0,28,0.918918918918919
110227,anyone hack google ?,hack google ?,1,0.0,0.0,7,0.9090909090909091
110228,donald trump use quora ?,donald trump quora ?,1,0.0,0.0,4,0.9285714285714286
110229,"weather orlando like june , differ weather july ?","weather orlando like june , differ weather october ?",0,0.0,0.0,7,0.9230769230769231
110230,natural soft hair black men ?,black men 's hair softened ?,1,0.0,0.0,20,0.918918918918919
110231,top 5 quorans number followers ?,top 5 quorans ( jake williams favorite ) ?,1,0.0,0.0,21,0.8292682926829268
110232,best free dating apps india ?,best dating apps india ?,0,0.044883306908487214,0.0,5,0.9230769230769231
110233,reduce anger ?,controlling anger ?,1,0.0,0.0,10,0.7272727272727273
110234,god & god ?,god ?,1,0.0,0.0,6,0.9090909090909091
110235,ban 500 1000 rupee notes helps identify black money corruption ?,rs.2000 currency notes reduce black money market corruption ?,1,0.0,0.0,33,0.8695652173913043
110236,biggest regret ?,’ biggest regret life far ?,1,0.0,0.0,11,0.8181818181818182
110237,massage really increase breast size ?,breast massages really help increasing breast size ?,1,0.0,0.0,16,0.9411764705882353
110238,many jokes hitler jews ?,hitler attempt conquer many countries exterminate jews ?,0,0.0,0.0,38,0.8421052631578947
110239,linux programs work distributions ?,netflix work linux ?,0,0.0,0.0,24,0.7272727272727273
110240,recover emails gmail account ?,keep emails separate 2 gmail accounts ?,0,0.0,0.0,17,0.8823529411764706
110241,ever sex sister ?,anyone sex sister ?,1,0.0,0.0,6,0.7619047619047619
110242,world 's best carry player dota 2 ?,best dota 2 player overall terms skills ?,0,0.0,0.0,32,0.8
110243,person ? whatever expected ideally whatever heart says ?,"intel m3 m5 m7 , efficiency differenceces ?",0,0.0,0.0,42,0.6486486486486487
110244,"'m male , 27 years old penis length 14 cm . satisfy fiancee ?","175 cm , weight 65 kg 15 year old male . would increase height much possible ?",0,0.0,0.052631578947368474,57,0.8148148148148148
110245,factory reset toshiba laptop ?,factory reset toshiba satellite pro ?,1,0.0,0.0,10,1.0
110246,hillary clinton 's health affect election ?,hillary clinton 's health matter ?,1,0.07565186167745275,0.0,13,0.9375
110247,difference travelling tourism ?,ancillary services travel tourism ? provided ?,0,0.0,0.0,28,0.8888888888888888
110248,fabrication process pressure vessel ?,`` impartial history '' mean ? examples ?,0,0.0,0.0,31,0.6857142857142857
110249,find two square roots 3-4i ?,square root square root ?,0,0.0,0.0,15,0.7142857142857143
110250,political science degree ?,political science degree ?,1,0.0,0.0,0,1.0
110251,mandatory open reference take without reference ?,self reference criterion ( detail ) ?,0,0.04451622295487643,0.0,33,0.6857142857142857
110252,minimum graduation percentage eligibility ssc cgl ?,minimum graduation percentage qualify ssc cgl ?,1,0.0,0.0,8,0.9230769230769231
110253,material use pass 050-730 exam ?,material use pass c2150-202 exam ?,0,0.0,0.0,6,0.8648648648648649
110254,videos youtube available offline viewing ?,videos youtube available safe offline ?,0,0.0,0.0,10,0.9411764705882353
110255,possible become psychopath ?,possible empath become psychopathic ?,0,0.0,0.0,9,1.0
110256,best program logo design ?,computer program commonly used logo/brand design ?,0,0.0,0.0,27,0.8888888888888888
110257,hp officejet 4620 airprint compare hp laserjet enterprise m506x ?,hp officejet 4620 airprint compare hp designjet t120 24-in printer ?,1,0.0,0.0,22,0.851063829787234
110258,get download android game ?,get downloads android games ?,1,0.0,0.0,2,0.9655172413793104
110259,clear concepts physics maths experimentallt ?,best way clear concepts physics maths ?,0,0.0,0.0,24,0.9142857142857143
110260,boss bosses day ?,get boss bosses day ?,1,0.0,0.0,4,0.9
110261,incident changed life ?,incidence changed life ?,1,0.0,0.0,2,0.96
110262,many keywords boo programming language latest version ?,many keywords curl programming language latest version ?,0,0.0,0.0,4,0.9523809523809523
110263,person get strep throat tonsils removed ?,still get strep without tonsils ?,1,0.0,0.0,18,0.8125
110264,jorah mormont exiled house ?,ser jorah mormont exiled house ?,1,0.0,0.0,4,1.0
110265,people tend yell 're drunk ?,people willing talk 've drunk alcohol ?,0,0.0,0.0,18,0.7647058823529411
110266,examples filming vr someone watching how-to video ?,patchouli indigenous india ?,0,0.0,0.0,39,0.7894736842105263
110267,achanakmar wildlife sanctuary famous chhattisgarh ?,achanakmar wildlife sanctuary famous amongst tourists chhattisgarh ?,1,0.0,0.0,17,1.0
110268,best security camera sytems ?,good security camera systems ?,1,0.0,0.0,5,0.8571428571428571
110269,main parts brain function ?,main parts neuron ? function part ?,0,0.0,0.0,12,0.9333333333333333
110270,earn money online ?,easiest ways earn money online ?,1,0.0,0.0,13,0.88
110271,value derived donald trump part election ?,vit vellore b.tech mechanical core placements year 2016 ?,0,0.0,0.07692307692307687,42,0.717948717948718
110272,fall love ?,normal fall love ?,1,0.0,0.0,7,0.8421052631578947
110273,all-time * * * * interesting/creative/memorable students/alumni attended harvard 1990s ?,all-time * * * * interesting/creative/memorable students/alumni attended harvard 2010s ?,0,0.0,0.0,3,0.96
110274,see viewed instagram ?,l see viewed videos instagram ?,1,0.0,0.0,9,0.9333333333333333
110275,instruments used measure earthquakes ? used ?,instrument used measure earthquakes ?,1,0.0,0.0,8,1.0
